stock, lot_size
AARTIIND ,850
ABBOTINDI,40
ABCAPITAL,5400
ABFRL    ,2600
ACC      ,250
ADANIENT ,500
ADANIPORT,1250
ALKEM    ,200
AMARAJABA,1000
AMBUJACEM,1800
APOLLOHOS,125
APOLLOTYR,3500
ASHOKLEY ,5000
ASIANPAIN,200
ASTRAL   ,275
ATUL     ,75
AUBANK   ,1000
AUROPHARM,1000
AXISBANK ,1200
BAJAJ-AUT,250
BAJAJFINS,50
BAJFINANC,125
BALKRISIN,300
BALRAMCHI,1600
BANDHANBN,1800
BANKBAROD,5850
BANKNIFTY,25
BATAINDIA,275
BEL      ,3800
BERGEPAIN,1100
BHARATFOR,1000
BHARTIART,950
BHEL     ,10500
BIOCON   ,2300
BOSCHLTD ,50
BPCL     ,1800
BRITANNIA,200
BSOFT    ,1300
CANBK    ,2700
CANFINHOM,975
CHAMBLFER,1500
CHOLAFIN ,1250
CIPLA    ,650
COALINDIA,4200
COFORGE  ,150
COLPAL   ,350
CONCOR   ,1000
COROMANDE,700
CROMPTON ,1500
CUB      ,5000
CUMMINSIN,600
DABUR    ,1250
DALBHARAT,500
DEEPAKNTR,250
DIVISLAB ,150
DIXON    ,125
DLF      ,1650
DRREDDY  ,125
EICHERMOT,350
ESCORTS  ,550
EXIDEIND ,3600
FEDERALBN,10000
FSL      ,5200
GAIL     ,6100
GLENMARK ,1150
GMRINFRA ,22500
GNFC     ,1300
GODREJCP ,1000
GODREJPRO,325
GRANULES ,2000
GRASIM   ,475
GSPL     ,2500
GUJGASLTD,1250
HAL      ,475
HAVELLS  ,500
HCLTECH  ,700
HDFC     ,300
HDFCAMC  ,300
HDFCBANK ,550
HDFCLIFE ,1100
HEROMOTOC,300
HINDALCO ,1075
HINDCOPPE,4300
HINDPETRO,2700
HINDUNILV,300
HONAUT   ,15
IBULHSGFI,4000
ICICIBANK,1375
ICICIGI  ,425
ICICIPRUL,1500
IDEA     ,70000
IDFC     ,10000
IDFCFIRST,15000
IEX      ,3750
IGL      ,1375
INDHOTEL ,4022
INDIACEM ,2900
INDIAMART,150
INDIGO   ,300
INDUSINDB,900
INDUSTOWE,2800
INFY     ,300
IOC      ,9750
IPCALAB  ,650
IRCTC    ,875
ITC      ,3200
JINDALSTE,1250
JKCEMENT ,250
JSWSTEEL ,1350
JUBLFOOD ,1250
KOTAKBANK,400
LALPATHLA,250
LAURUSLAB,900
LICHSGFIN,2000
LT       ,300
LTFH    ,8924
LTI      ,150
LTTS     ,200
LUPIN    ,850
MANAPPURA,6000
MARICO   ,1200
MARUTI   ,100
MCDOWELL-,625
MCX      ,400
METROPOLI,300
MFSL     ,650
MGL      ,800
MINDTREE ,200
MM      ,700
MMFIN   ,4000
MOTHERSON,4500
MPHASIS  ,175
MRF      ,10
MUTHOOTFI,375
NAM-INDIA,1600
NATIONALU,4250
NAUKRI   ,125
NAVINFLUO,225
NESTLEIND,40
NMDC     ,3350
OFSS     ,200
ONGC     ,3850
PAGEIND  ,15
PEL      ,275
PERSISTEN,150
PETRONET ,3000
PFC      ,6200
PIDILITIN,250
PIIND    ,250
PNB      ,16000
POLYCAB  ,300
POWERGRID,2700
PVR      ,407
RAIN     ,3500
RAMCOCEM ,850
RBLBANK  ,5000
RECLTD   ,6000
RELIANCE ,250
SAIL     ,6000
SBICARD  ,800
SBILIFE  ,750
SBIN     ,1500
SHREECEM ,25
SIEMENS  ,275
SRF      ,375
SRTRANSFI,600
SUNPHARMA,700
SUNTV    ,1500
SYNGENE  ,1000
TATACHEM ,1000
TATACOMM ,500
TATACONSU,900
TATAMOTOR,1425
TECHM    ,600
TITAN    ,375
TORNTPHAR,500
TORNTPOWE,1500
TRENT    ,725
TVSMOTOR ,1400
UBL      ,400
ULTRACEMC,100
UPL      ,1300
VEDL     ,1550
VOLTAS   ,500
WHIRLPOOL,350
WIPRO    ,1000
ZEEL     ,3000
ZYDUSLIFE,1800
